symbol,train_pnl_pct,test_pnl_pct,trades,win_rate,max_drawdown,sharpe,min_price,max_price,grid_levels,sell_pct
RUNEUSDC,2.3205,1.978,18,1.0,0.034458,0.5656,0.387,0.417,5,1.0
SOMIUSDC,8.3509,1.9716,13,1.0,0.104073,0.5984,0.1696,0.1893,5,5.0
STEEMUSDC,5.9756,1.9714,12,1.0,0.04272,1.2482,0.0489,0.053,5,3.0
MASKUSDC,4.7554,1.9713,8,1.0,0.038468,0.8618,0.432,0.469,5,3.0
UNIUSDC,24.4589,1.9504,85,1.0,0.056106,1.7891,3.372,3.51,10,1.0
TURTLEUSDC,5.1949,1.9487,19,1.0,0.055597,0.6559,0.0396,0.0421,10,5.0
SANDUSDC,6.43,1.934,25,1.0,0.01883,1.5723,0.0846,0.0879,5,2.0
SOLVUSDC,2.6525,1.9301,17,1.0,0.028616,0.5664,0.00461,0.0055,5,1.0
ORCAUSDC,3.1789,1.9112,18,1.0,0.020948,1.126,0.736,0.787,10,3.0
KMNOUSDC,2.7628,1.906,19,1.0,0.013004,1.0985,0.02895,0.03083,10,3.0
SYRUPUSDC,7.0226,1.9051,51,1.0,0.03031,1.5412,0.2679,0.2811,5,1.0
OMUSDC,5.604,1.8959,37,1.0,0.029993,1.2731,0.0445,0.0458,5,1.0
ETCUSDC,3.1724,1.8936,18,1.0,0.01725,1.2658,8.07,8.65,10,3.0
ERAUSDC,8.3434,1.8854,25,1.0,0.058398,1.0772,0.1509,0.1559,5,3.0
XLMUSDC,5.3025,1.8735,37,1.0,0.01597,1.622,0.1559,0.1614,5,1.0
PNUTUSDC,3.8961,1.8478,29,1.0,0.05544,0.7123,0.0443,0.0495,15,3.0
MORPHOUSDC,2.8117,1.8299,37,1.0,0.014921,1.0455,1.09,1.161,15,2.0
TLMUSDC,4.2076,1.8197,14,1.0,0.032951,0.9361,0.00163,0.001721,5,2.0
PHAUSDC,3.212,1.8136,17,1.0,0.026628,0.7973,0.0255,0.0279,10,3.0
FILUSDC,2.9486,1.8075,27,1.0,0.047227,0.5765,0.872,0.955,15,3.0
PYTHUSDC,4.9835,1.7962,14,1.0,0.037461,0.9672,0.0436,0.0462,5,3.0
PROVEUSDC,6.1938,1.7911,20,1.0,0.030223,1.1333,0.3158,0.3292,5,3.0
STXUSDC,6.1922,1.7785,18,1.0,0.064307,0.8824,0.2526,0.269,5,3.0
SHIBUSDC,5.3333,1.7707,39,1.0,0.0306,1.1001,5.83e-06,6.18e-06,15,3.0
AUSDC,5.2177,1.7698,23,1.0,0.048345,0.7317,0.0798,0.0845,15,5.0
MAVUSDC,2.3902,1.7564,17,1.0,0.042581,0.412,0.01587,0.01749,10,3.0
LDOUSDC,4.0252,1.7559,15,1.0,0.023814,1.2571,0.3265,0.3599,5,2.0
ROSEUSDC,9.2605,1.7532,63,1.0,0.066061,1.1735,0.0128,0.01348,5,1.0
AVAXUSDC,3.6773,1.753,16,1.0,0.031651,0.8581,8.72,9.14,5,2.0
CFXUSDC,5.5243,1.7424,27,1.0,0.061968,0.8726,0.0443,0.0485,15,5.0
1MBABYDOGEUSDC,4.9701,1.7419,21,1.0,0.063928,0.7709,0.0003632,0.000401,15,5.0
TRUMPUSDC,5.9099,1.7417,25,1.0,0.027768,1.4424,3.262,3.386,5,2.0
REDUSDC,5.3705,1.7317,26,1.0,0.043276,1.1805,0.1746,0.1908,15,5.0
A2ZUSDC,5.6784,1.7288,22,1.0,0.054381,0.8796,0.000903,0.000999,15,5.0
TURBOUSDC,3.5262,1.7252,25,1.0,0.049326,0.5961,0.000992,0.001086,15,3.0
COTIUSDC,5.1938,1.7248,24,1.0,0.05907,0.7656,0.01138,0.0123,15,5.0
YGGUSDC,5.1999,1.7222,18,1.0,0.0435,1.0427,0.0385,0.0425,5,2.0
ENSUSDC,5.5779,1.6942,34,1.0,0.036448,1.4008,5.47,5.98,15,3.0
IOTAUSDC,3.1703,1.684,19,1.0,0.012926,1.2836,0.0645,0.0703,5,1.0
TAOUSDC,4.3261,1.6804,31,1.0,0.047935,0.8419,146.3,165.3,15,3.0
AUCTIONUSDC,12.4229,1.6782,36,1.0,0.051808,1.1127,4.8,4.97,5,3.0
ARKMUSDC,3.9195,1.6606,17,1.0,0.019977,0.8345,0.113,0.126,5,1.0
1000CATUSDC,5.5998,1.6557,23,1.0,0.054106,0.784,0.0017,0.00186,15,5.0
GRTUSDC,3.8083,1.6464,12,1.0,0.040686,0.7803,0.02567,0.02772,5,2.0
0GUSDC,13.7497,1.6246,22,1.0,0.041972,1.5847,0.522,0.667,5,5.0
MIRAUSDC,6.2118,1.6185,18,1.0,0.063487,0.733,0.0825,0.0913,10,5.0
FORMUSDC,2.016,1.6145,30,1.0,0.017418,0.6124,0.2003,0.2158,15,2.0
IMXUSDC,6.6284,1.6009,18,1.0,0.067141,0.9055,0.1487,0.1607,10,5.0
BANANAUSDC,4.5817,1.5975,36,1.0,0.031557,1.1553,4.37,4.7,15,3.0
PLUMEUSDC,7.1238,1.5971,48,1.0,0.096229,0.8018,0.0109,0.01137,5,1.0
BROCCOLI714USDC,6.0213,1.5947,22,1.0,0.055525,0.883,0.0125,0.01353,10,5.0
INJUSDC,3.4943,1.5852,15,1.0,0.025194,0.9711,3.007,3.253,5,2.0
BIGTIMEUSDC,6.2261,1.5688,9,1.0,0.068909,0.9008,0.01402,0.01503,5,5.0
ICPUSDC,5.671,1.5601,33,1.0,0.028543,1.4628,2.365,2.448,5,1.0
SAHARAUSDC,6.4931,1.5582,15,1.0,0.047559,0.8781,0.01466,0.0156,10,5.0
XAIUSDC,5.1167,1.5523,17,1.0,0.119834,0.3358,0.00969,0.01051,10,5.0
CATIUSDC,2.1631,1.5394,16,1.0,0.045169,0.4615,0.04,0.0449,10,3.0
ONTUSDC,4.1572,1.5131,14,1.0,0.046127,0.7888,0.0429,0.0463,5,2.0
WUSDC,5.1838,1.5123,24,1.0,0.066241,0.6113,0.0183,0.0202,15,5.0
CGPTUSDC,5.9536,1.4954,27,1.0,0.054717,0.9542,0.01985,0.02146,15,5.0
MITOUSDC,3.3386,1.4935,12,1.0,0.04027,0.667,0.0422,0.04523,5,2.0
GMXUSDC,3.2224,1.4934,19,1.0,0.021233,0.8088,5.9,6.22,5,1.0
SUSHIUSDC,6.4601,1.488,20,1.0,0.05988,0.9209,0.1945,0.2079,5,2.0
MEMEUSDC,3.0731,1.4852,25,1.0,0.031982,1.0342,0.000656,0.000746,15,3.0
BREVUSDC,14.1747,1.4563,23,1.0,0.057324,1.7415,0.1418,0.1592,5,5.0
1INCHUSDC,4.0437,1.4301,21,1.0,0.027752,1.2653,0.0923,0.0987,5,1.0
ILVUSDC,3.4915,1.4113,21,1.0,0.045668,0.5735,3.73,4.0,15,5.0
KAIAUSDC,5.6602,1.3627,23,1.0,0.05446,0.7314,0.0535,0.056,15,5.0
EPICUSDC,5.8936,1.358,38,1.0,0.073187,0.9026,0.279,0.315,15,3.0
AIXBTUSDC,4.3533,1.337,26,1.0,0.058057,0.6331,0.0186,0.0209,15,3.0
ATOMUSDC,4.6753,1.3342,19,1.0,0.041899,0.8168,1.915,1.976,5,2.0
HEIUSDC,2.1952,1.3337,14,1.0,0.031948,0.4609,0.0818,0.0903,5,1.0
PEOPLEUSDC,4.7091,1.3239,20,1.0,0.04457,0.8971,0.00616,0.00673,15,5.0
SHELLUSDC,4.1042,1.323,27,1.0,0.037905,0.6802,0.0307,0.0316,5,1.0
GIGGLEUSDC,5.9977,1.3163,31,1.0,0.059911,0.6626,30.52,31.79,5,2.0
REZUSDC,2.9476,1.3052,17,1.0,0.063352,0.5075,0.00284,0.00318,10,3.0
